2025-11-05 19:51:42,082 | INFO | src.utils | Epoch 2 val metrics: {"loss": 7.391304969787598, "rmse": 2.7186953392806057, "precision@k": 0.0005302226935312832, "recall@k": 0.005302226935312832, "ndcg@k": 0.0022104773758425656}
2025-11-05 19:51:55,373 | INFO | src.utils | Epoch 3 train loss: 7.697519, examples=97401, time=13.3s
2025-11-05 19:52:07,132 | INFO | src.utils | Epoch 3 val metrics: {"loss": 7.391304969787598, "rmse": 2.7186953392806057, "precision@k": 0.0005302226935312832, "recall@k": 0.005302226935312832, "ndcg@k": 0.0022104773758425656}
2025-11-05 19:52:18,584 | INFO | src.utils | Epoch 4 train loss: 7.697519, examples=97401, time=11.5s
2025-11-05 19:52:28,867 | INFO | src.utils | Epoch 4 val metrics: {"loss": 7.391304969787598, "rmse": 2.7186953392806057, "precision@k": 0.0005302226935312832, "recall@k": 0.005302226935312832, "ndcg@k": 0.0022104773758425656}
2025-11-05 19:52:40,911 | INFO | src.utils | Epoch 5 train loss: 7.697519, examples=97401, time=12.0s
2025-11-05 19:52:51,102 | INFO | src.utils | Epoch 5 val metrics: {"loss": 7.391304969787598, "rmse": 2.7186953392806057, "precision@k": 0.0005302226935312832, "recall@k": 0.005302226935312832, "ndcg@k": 0.0022104773758425656}
2025-11-05 19:55:50,145 | INFO | src.utils | Loaded config from configs/train.yaml
2025-11-05 19:55:50,145 | INFO | src.utils | Set python and numpy seed to 42
2025-11-05 19:55:50,176 | INFO | src.utils | Configured torch.backends.cudnn for deterministic behavior (may be slower).
2025-11-05 19:55:50,250 | INFO | src.utils | Inferred n_users=943, n_items=1349 from processed files.
2025-11-05 19:55:50,250 | INFO | src.utils | Preparing dataloaders with model_type=mf, batch_size=1024, num_workers=4
2025-11-05 19:55:50,313 | INFO | src.dataset | Loaded interactions: train=97401 val=943 test=943
2025-11-05 19:55:50,316 | INFO | src.utils | Building model from config. model_cfg keys: ['embedding_dim', 'ncf_hidden', 'dropout', 'clamp_preds', 'min_rating', 'max_rating', 'model_init_args']
2025-11-05 19:55:50,412 | INFO | src.utils | Model built and moved to device cuda
2025-11-05 19:55:52,320 | INFO | src.utils | Built optimizer adam lr=0.001 betas=(0.9, 0.999) eps=1e-08 weight_decay=0.0
2025-11-05 19:55:52,321 | INFO | src.utils | Starting training for 20 epochs. use_amp=True
2025-11-05 19:56:08,500 | INFO | src.utils | Epoch 1 train loss: 7.697519, examples=97401, time=16.2s
2025-11-05 19:56:18,863 | INFO | src.utils | Epoch 1 val metrics: {"loss": 7.391304969787598, "rmse": 2.7186953392806057, "precision@k": 0.0005302226935312832, "recall@k": 0.005302226935312832, "ndcg@k": 0.0022104773758425656}
2025-11-05 19:56:18,864 | INFO | src.utils | New best val RMSE 2.718695 at epoch 1. Saving best model.
2025-11-05 19:56:18,873 | INFO | src.engine | Saved checkpoint metadata to artifacts/model\checkpoint_epoch_1.pth
